epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,1904.57,1.04444,2.05548,1.12805,1.24406,0,0.58127,0.49782,0.49491,0.27926,0.57272,0.48035,0.48957,0.26192,1.5665,4.18083,1.57317,1.45308,0,0.000317,0.000317,0.000317
87,1925.76,1.03206,2.05473,1.08115,1.23399,0,0.57,0.52676,0.48815,0.27684,0.55983,0.5054,0.4823,0.26667,1.59171,4.18164,1.592,1.43978,0,0.0002972,0.0002972,0.0002972
88,1945.54,1.00624,2.01434,1.09074,1.21229,0,0.53941,0.54148,0.49273,0.28545,0.53642,0.53712,0.48862,0.26213,1.49812,3.98603,1.54945,1.39879,0,0.0002774,0.0002774,0.0002774
89,1965.21,1.01927,2.08273,1.11611,1.22102,0,0.5906,0.50218,0.49828,0.28069,0.62292,0.48035,0.48542,0.26221,1.79389,4.05167,1.76858,1.49857,0,0.0002576,0.0002576,0.0002576
90,1984.97,1.03369,2.03091,1.09287,1.23819,0,0.57205,0.51092,0.48587,0.26681,0.59671,0.48908,0.48028,0.25051,1.76946,4.04224,1.82499,1.50281,0,0.0002378,0.0002378,0.0002378
91,2004.59,1.05469,2.05891,1.21356,1.33581,0,0.54014,0.44978,0.45414,0.23641,0.55402,0.44105,0.44244,0.22166,1.65753,3.90916,1.80027,1.5235,0,0.000218,0.000218,0.000218
92,2021.83,1.00064,1.95476,1.11942,1.28369,0,0.61605,0.45415,0.47264,0.26121,0.61012,0.44978,0.4685,0.24514,1.51675,3.73755,1.69814,1.46108,0,0.0001982,0.0001982,0.0001982
93,2039.13,0.98196,1.95086,1.06123,1.27246,0,0.55809,0.52391,0.49565,0.27621,0.55932,0.51092,0.49091,0.25372,1.53726,3.57333,1.63211,1.46344,0,0.0001784,0.0001784,0.0001784
94,2056.13,0.98102,1.92597,1.05865,1.27032,0,0.61211,0.49345,0.48812,0.27198,0.61842,0.48472,0.48027,0.24654,1.54656,3.56096,1.58523,1.47404,0,0.0001586,0.0001586,0.0001586
95,2073.06,0.9516,1.91946,1.04774,1.25626,0,0.56412,0.53275,0.50044,0.28559,0.56483,0.54413,0.49754,0.26255,1.45921,3.75174,1.53551,1.41987,0,0.0001388,0.0001388,0.0001388
96,2090.19,0.95598,1.89121,1.00654,1.25031,0,0.54089,0.52838,0.4912,0.27708,0.56054,0.49345,0.48484,0.25265,1.55285,3.61482,1.62198,1.46945,0,0.000119,0.000119,0.000119
97,2109.5,0.96847,1.88267,1.04707,1.25441,0,0.54677,0.54585,0.49856,0.27989,0.54685,0.51965,0.48617,0.25664,1.47975,3.59418,1.5469,1.44045,0,9.92e-05,9.92e-05,9.92e-05
98,2126.57,0.9426,1.86423,1.02306,1.27115,0,0.58519,0.51092,0.50225,0.28394,0.58405,0.51092,0.49478,0.26171,1.42593,3.65005,1.53537,1.40286,0,7.94e-05,7.94e-05,7.94e-05
99,2144.16,0.93955,1.83758,1.01586,1.25031,0,0.5557,0.52978,0.50352,0.28664,0.59991,0.48908,0.50258,0.2656,1.48861,3.62976,1.56151,1.43821,0,5.96e-05,5.96e-05,5.96e-05
100,2161.54,0.95281,1.85986,1.0296,1.25619,0,0.57327,0.53712,0.50879,0.29019,0.57227,0.52582,0.50483,0.27048,1.42909,3.61508,1.51723,1.40065,0,3.98e-05,3.98e-05,3.98e-05
