epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,981.875,1.15291,2.7989,1.70308,1.45677,0,0.44318,0.39122,0.36232,0.18676,0.43556,0.39548,0.36745,0.16214,1.57304,3.41778,2.25795,1.75157,0,0.0012476,0.0012476,0.0012476
40,1007.24,1.11259,2.77543,1.66033,1.45379,0,0.46111,0.42373,0.37009,0.16476,0.43439,0.40678,0.33218,0.12484,1.69991,3.65017,2.37514,1.8026,0,0.0012278,0.0012278,0.0012278
41,1032.31,1.13053,2.74647,1.71173,1.45574,0,0.34732,0.42938,0.35794,0.1729,0.3375,0.45476,0.29654,0.13326,1.58754,3.33132,2.34933,1.81838,0,0.001208,0.001208,0.001208
42,1057.3,1.14548,2.78428,1.69134,1.46542,0,0.37863,0.44633,0.3571,0.17738,0.36957,0.38983,0.30875,0.12679,1.56542,3.61531,2.40283,1.75995,0,0.0011882,0.0011882,0.0011882
43,1082.26,1.10083,2.79331,1.68638,1.44454,0,0.37237,0.36158,0.30619,0.1436,0.35911,0.38622,0.2988,0.11757,1.60046,3.5647,2.42183,1.79634,0,0.0011684,0.0011684,0.0011684
44,1107.77,1.11935,2.67904,1.6558,1.45691,0,0.41747,0.43503,0.36899,0.17701,0.47817,0.45763,0.39974,0.1529,1.60391,3.2567,2.32336,1.7719,0,0.0011486,0.0011486,0.0011486
45,1132.94,1.11861,2.75452,1.67439,1.45115,0,0.33486,0.4039,0.31096,0.13922,0.30745,0.40678,0.27299,0.10425,1.68266,3.49581,2.39967,1.80333,0,0.0011288,0.0011288,0.0011288
46,1158.07,1.12689,2.75233,1.63877,1.44473,0,0.38636,0.49088,0.39436,0.19374,0.44986,0.43889,0.37492,0.16125,1.61262,3.38782,2.29328,1.76763,0,0.001109,0.001109,0.001109
47,1182.83,1.10708,2.6922,1.6695,1.44375,0,0.40345,0.46893,0.36939,0.1607,0.43528,0.44068,0.38115,0.1533,1.58438,3.32582,2.22448,1.74976,0,0.0010892,0.0010892,0.0010892
48,1207.69,1.09061,2.69435,1.63884,1.42981,0,0.38337,0.33333,0.28837,0.13437,0.38498,0.33898,0.28211,0.11235,1.65545,3.73229,2.40596,1.78019,0,0.0010694,0.0010694,0.0010694
49,1232.47,1.13944,2.74638,1.64971,1.45866,0,0.37232,0.37199,0.27846,0.13806,0.32801,0.33333,0.22871,0.09858,1.78578,3.68714,2.58022,2.03093,0,0.0010496,0.0010496,0.0010496
50,1257.52,1.13137,2.74351,1.67502,1.458,0,0.39116,0.3049,0.26267,0.12539,0.37867,0.27119,0.24761,0.1005,1.62936,3.58506,2.53696,1.81753,0,0.0010298,0.0010298,0.0010298
51,1282.3,1.08565,2.67778,1.6335,1.42654,0,0.45928,0.47028,0.41034,0.19938,0.43263,0.43503,0.37643,0.15351,1.70976,3.3621,2.27587,1.80633,0,0.00101,0.00101,0.00101
52,1307.35,1.09365,2.69804,1.59985,1.43609,0,0.49945,0.42373,0.43496,0.21373,0.56492,0.38418,0.42587,0.17348,1.71734,3.38158,2.17285,1.8763,0,0.0009902,0.0009902,0.0009902
53,1332.29,1.07044,2.65408,1.57818,1.4313,0,0.39993,0.45763,0.36845,0.18326,0.39629,0.44132,0.34959,0.14048,1.63525,3.55353,2.23662,1.80292,0,0.0009704,0.0009704,0.0009704
54,1356.9,1.1222,2.67949,1.62176,1.43055,0,0.4942,0.39194,0.37924,0.18458,0.45941,0.37288,0.34381,0.15049,1.63982,3.55416,2.25344,1.80653,0,0.0009506,0.0009506,0.0009506
55,1382.14,1.06734,2.66891,1.61237,1.41302,0,0.50983,0.44068,0.40998,0.19628,0.50521,0.45574,0.40829,0.16986,1.624,3.84246,2.17444,1.80825,0,0.0009308,0.0009308,0.0009308
56,1407.12,1.08078,2.61884,1.61317,1.40706,0,0.38376,0.49718,0.35457,0.16304,0.38784,0.44633,0.35577,0.14736,1.64916,3.24751,2.21116,1.77058,0,0.000911,0.000911,0.000911
57,1431.78,1.04462,2.68344,1.56253,1.40359,0,0.55331,0.48588,0.4843,0.24134,0.50827,0.44633,0.44785,0.19213,1.69283,3.54232,2.0517,1.84881,0,0.0008912,0.0008912,0.0008912
58,1457.03,1.05561,2.65863,1.56227,1.40593,0,0.39584,0.40678,0.33357,0.15528,0.38698,0.40113,0.32686,0.13523,1.63888,3.33832,2.33832,1.78298,0,0.0008714,0.0008714,0.0008714
