epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1428.5,0.79417,1.48866,1.36292,0.49309,0.42286,0.40486,0.20811,1.58263,2.2426,1.85181,0.0003962,0.0003962,0.0003962
83,1445.82,0.78319,1.43734,1.35528,0.46548,0.40308,0.40343,0.19899,1.55243,2.27222,1.79933,0.0003764,0.0003764,0.0003764
84,1463.36,0.82147,1.47345,1.37217,0.55459,0.34857,0.41,0.1997,1.57459,2.38007,1.81302,0.0003566,0.0003566,0.0003566
85,1480.28,0.78442,1.43049,1.3586,0.42099,0.45143,0.40071,0.19451,1.55346,2.31815,1.80548,0.0003368,0.0003368,0.0003368
86,1499.58,0.80172,1.43121,1.36077,0.52834,0.4,0.38596,0.18137,1.60869,2.43972,1.82798,0.000317,0.000317,0.000317
87,1516.66,0.782,1.44723,1.35216,0.55281,0.34857,0.38612,0.18644,1.55829,2.38072,1.83244,0.0002972,0.0002972,0.0002972
88,1534.23,0.75572,1.38791,1.33615,0.53847,0.32,0.36187,0.17177,1.58378,2.45975,1.82198,0.0002774,0.0002774,0.0002774
89,1551.74,0.78999,1.42443,1.34931,0.57547,0.34286,0.39078,0.19691,1.5733,2.31013,1.80902,0.0002576,0.0002576,0.0002576
90,1569.39,0.76543,1.39315,1.34876,0.46679,0.42857,0.41872,0.2048,1.61816,2.33067,1.8298,0.0002378,0.0002378,0.0002378
91,1587.76,1.01895,1.807,1.57592,0.43121,0.35429,0.37093,0.19328,1.55989,2.41882,1.8072,0.000218,0.000218,0.000218
92,1603.51,0.93334,1.59022,1.49768,0.49892,0.38857,0.38993,0.19712,1.55581,2.37673,1.81192,0.0001982,0.0001982,0.0001982
93,1619.73,0.93138,1.57635,1.49821,0.50386,0.34857,0.36778,0.17749,1.55928,2.43622,1.82367,0.0001784,0.0001784,0.0001784
94,1635.78,0.8945,1.50639,1.46882,0.48653,0.38857,0.38052,0.18486,1.56874,2.40066,1.84226,0.0001586,0.0001586,0.0001586
95,1651.57,0.90519,1.54097,1.46942,0.50743,0.35429,0.36723,0.18613,1.58062,2.434,1.84954,0.0001388,0.0001388,0.0001388
96,1680.61,0.90109,1.49998,1.46078,0.55557,0.37143,0.39084,0.19245,1.55059,2.4302,1.82074,0.000119,0.000119,0.000119
97,1697.72,0.87756,1.50236,1.46237,0.40441,0.42286,0.35862,0.18161,1.57794,2.40836,1.82633,9.92e-05,9.92e-05,9.92e-05
98,1713.38,0.88087,1.50932,1.46516,0.51562,0.41143,0.39682,0.19298,1.59439,2.40577,1.83461,7.94e-05,7.94e-05,7.94e-05
99,1728.54,0.89981,1.46861,1.46606,0.40173,0.45143,0.37657,0.18487,1.60258,2.4577,1.83557,5.96e-05,5.96e-05,5.96e-05
100,1743.87,0.88635,1.47619,1.45743,0.43421,0.45143,0.39068,0.19128,1.62817,2.43856,1.8592,3.98e-05,3.98e-05,3.98e-05
